swings_competitive,percent_swings_competitive,contact,avg_bat_speed,hard_swing_rate,squared_up_per_bat_contact,squared_up_per_swing,blast_per_bat_contact,blast_per_swing,swing_length,swords,batter_run_value,whiffs,whiff_per_swing,batted_ball_events,batted_ball_event_per_swing,pa,k_percent,bb_percent,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent,bat_speed_contact_ratio,squared_up_efficiency,contact_quality_composite,swing_efficiency_ratio,whiff_to_contact_ratio,power_potential_score,sweet_spot_optimization
27,0.8709677419354839,21,76.364338148,0.7407407407407407,0.4761904761904761,0.3703703703703703,0.4285714285714285,0.3333333333333333,7.659024444,1,3.121631571311124,6,0.2222222222222222,14,0.5185185185185185,273,28.2,13.2,32.1,12.2,42.3,101.271060649,94.891513896,34.0,44.8,3.636397054666667,0.17636684303350963,0.5485008818342151,9.970504560515279,0.42857142857142855,0.6319410000170282,22.15
39,0.9069767441860463,31,75.845929487,0.6153846153846154,0.3225806451612903,0.2564102564102564,0.1612903225806451,0.1282051282051282,7.473069231,1,-1.3651843959492784,8,0.2051282051282051,18,0.4615384615384615,654,20.0,19.0,37.1,12.9,47.5,102.728474588,95.847158243,26.9,44.2,2.4466428866774197,0.08271298593879238,0.36641852770885025,10.149234155676458,0.4444444444444444,0.545834248951047,25.0
34,0.918918918918919,19,75.390264412,0.4411764705882352,0.3684210526315789,0.2058823529411764,0.2105263157894736,0.1176470588235294,8.190388235,0,-1.060597983569558,15,0.4411764705882353,13,0.3823529411764705,138,31.9,4.3,24.1,3.4,21.8,94.82748,91.458079474,32.6,46.6,3.9679086532631573,0.07585139318885446,0.34004127966976255,9.20472415334778,1.153846153846154,0.39566920400087613,13.75
48,0.9056603773584906,34,75.099739375,0.5208333333333334,0.3823529411764705,0.2708333333333333,0.2647058823529412,0.1875,8.076365,0,-1.1998346351693734,14,0.2916666666666667,18,0.375,247,17.4,9.7,25.0,1.7,27.8,97.295714941,92.649962588,19.4,43.8,2.2088158639705884,0.10355392156862742,0.389297385620915,9.298705466506282,0.7777777777777778,0.4513984061945753,13.35
36,0.9,29,74.719161667,0.4444444444444445,0.3103448275862069,0.25,0.1034482758620689,0.0833333333333333,7.667863333,0,-3.061641030972396,7,0.1944444444444444,13,0.3611111111111111,585,29.1,15.7,28.3,11.8,45.2,102.070124803,95.343527796,35.9,42.5,2.576522816103448,0.07758620689655173,0.28607918263090676,9.744456626585,0.5384615384615383,0.45873797093510127,20.05
41,0.9318181818181818,30,74.480695122,0.4390243902439024,0.5,0.3658536585365853,0.3,0.2195121951219512,7.900252195,1,0.3560316199881861,11,0.2682926829268293,19,0.4634146341463415,713,15.6,9.8,29.7,7.6,41.7,101.713928171,95.062350934,17.6,43.2,2.4826898374,0.18292682926829265,0.41300813008130083,9.427635129058054,0.5789473684210527,0.48789923911450456,18.65
32,0.8888888888888888,22,73.664772188,0.46875,0.2272727272727272,0.15625,0.0454545454545454,0.03125,7.288963125,1,-3.0386985519316365,10,0.3125,6,0.1875,494,22.3,6.1,29.3,6.0,45.0,102.789161734,95.795620232,26.2,47.7,3.348398735818182,0.035511363636363626,0.24715909090909086,10.106344472417673,1.6666666666666667,0.43359423590489976,17.65
27,0.9642857142857144,21,73.575539259,0.2962962962962963,0.2857142857142857,0.2222222222222222,0.1428571428571428,0.1111111111111111,7.644912593,0,0.136775584721268,6,0.2222222222222222,6,0.2222222222222222,350,31.4,6.3,34.1,16.8,46.3,102.940881078,96.047539363,31.6,51.5,3.5035971075714283,0.06349206349206349,0.24162257495590825,9.624117786038367,1.0,0.4161912839019629,25.450000000000003
34,0.918918918918919,26,73.203016765,0.2941176470588235,0.3846153846153846,0.2941176470588235,0.3076923076923077,0.2352941176470588,7.934286176,0,-1.9170475125782496,8,0.2352941176470588,13,0.3823529411764705,404,30.0,7.9,37.5,10.1,43.1,103.239684553,95.778705976,33.8,47.6,2.8155006448076922,0.11312217194570133,0.3288084464555053,9.2261629012611,0.6153846153846154,0.43749146623200913,23.8
47,0.903846153846154,35,73.143045532,0.3404255319148936,0.2285714285714285,0.1702127659574468,0.1428571428571428,0.1063829787234042,7.292011277,2,-1.1014764539010446,12,0.2553191489361702,17,0.3617021276595745,682,23.2,13.5,38.9,16.4,48.6,104.322363541,96.689220935,22.0,37.4,2.089801300914286,0.03890577507598783,0.2372847011144883,10.030572191063824,0.7058823529411764,0.431026094246045,27.65
38,0.926829268292683,26,73.045039474,0.4210526315789473,0.1923076923076923,0.131578947368421,0.1538461538461538,0.1052631578947368,7.321707368,1,-2.3983389899618817,12,0.3157894736842105,11,0.2894736842105263,467,15.0,4.1,31.9,4.3,34.3,98.315310753,93.272441375,16.3,49.9,2.8094245951538466,0.025303643724696342,0.2557354925775978,9.97650353976835,1.0909090909090908,0.39302264033222417,18.099999999999998
44,0.8627450980392157,33,72.907235909,0.3181818181818182,0.2121212121212121,0.1590909090909091,0.1515151515151515,0.1136363636363636,8.119834091,1,-1.918841646042592,11,0.25,16,0.3636363636363636,553,14.8,2.4,32.8,5.3,32.6,98.159469954,93.100742654,18.1,53.9,2.209310179060606,0.033746556473829195,0.22727272727272727,8.978907092425713,0.6875000000000001,0.3557216273549768,19.049999999999997
31,0.9117647058823528,27,72.666270323,0.2258064516129032,0.2222222222222222,0.1935483870967742,0.1111111111111111,0.0967741935483871,6.671846129,1,-3.1220478255879094,4,0.1290322580645161,12,0.3870967741935484,113,16.8,12.4,39.2,10.1,41.8,101.889513077,95.037645385,22.4,50.9,2.6913433452962967,0.04301075268817204,0.18637992831541217,10.891478747860674,0.33333333333333326,0.35636899511682474,24.650000000000002
36,0.9230769230769232,22,72.649967222,0.2777777777777778,0.5909090909090909,0.3611111111111111,0.3636363636363636,0.2222222222222222,7.921216667,1,2.367104292065395,14,0.3888888888888889,13,0.3611111111111111,398,23.6,4.3,31.3,5.3,33.5,97.558059044,92.87081886,25.3,45.5,3.3022712373636365,0.2133838383838384,0.41077441077441074,9.17156672720009,1.0769230769230769,0.39785069628293807,18.3
