id,name,swings_competitive,percent_swings_competitive,contact,avg_bat_speed,hard_swing_rate,squared_up_per_bat_contact,squared_up_per_swing,blast_per_bat_contact,blast_per_swing,swing_length,swords,batter_run_value,whiffs,whiff_per_swing,batted_ball_events,batted_ball_event_per_swing,"last_name, first_name",player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
691406,"Caminero, Junior",27,0.8709677419354839,25,80.339938519,1.0,0.16,0.1481481481481481,0.12,0.1111111111111111,8.263988889,1,0.7800490976318335,2,0.074074074074074,14,0.5185185185185185,"Caminero, Junior",691406,2025,19,15,0.389,0.228,0.161,0.444,0.293,0.151,0.382,0.253,0.129
665833,"Cruz, Oneil",29,0.8787878787878788,20,79.537849655,0.8965517241379309,0.35,0.2413793103448276,0.25,0.1724137931034483,7.580032069,2,-0.8848900335021446,9,0.3103448275862069,13,0.4482758620689655,"Cruz, Oneil",665833,2025,25,13,0.211,0.248,-0.037,0.368,0.458,-0.09,0.34,0.38,-0.0399999999999999
691023,"Walker, Jordan",39,1.0,28,78.451697692,0.8461538461538461,0.25,0.1794871794871795,0.1428571428571428,0.1025641025641025,7.882751026,0,1.2892614378516436,11,0.282051282051282,12,0.3076923076923077,"Walker, Jordan",691023,2025,17,12,0.429,0.311,0.118,0.643,0.574,0.069,0.504,0.433,0.071
670242,"Wallner, Matt",33,0.9428571428571428,18,77.385461818,0.8181818181818182,0.2222222222222222,0.1212121212121212,0.0555555555555555,0.0303030303030303,7.230507273,0,-0.7251443163917748,15,0.4545454545454545,7,0.2121212121212121,"Wallner, Matt",670242,2025,18,9,0.154,0.168,-0.014,0.308,0.42,-0.1119999999999999,0.332,0.369,-0.0369999999999999
670541,"Alvarez, Yordan",42,0.9333333333333332,32,76.870891905,0.7619047619047619,0.15625,0.119047619047619,0.09375,0.0714285714285714,7.773171905,0,-3.305236309458463,10,0.238095238095238,11,0.2619047619047619,"Alvarez, Yordan",670541,2025,20,11,0.063,0.15,-0.087,0.125,0.334,-0.209,0.167,0.269,-0.102
575929,"Contreras, Willson",41,0.8913043478260869,25,76.799753659,0.6829268292682927,0.16,0.0975609756097561,0.08,0.048780487804878,7.977119024,1,-5.011477095122456,16,0.3902439024390244,10,0.2439024390243902,"Contreras, Willson",575929,2025,20,11,0.0,0.144,-0.144,0.0,0.198,-0.198,0.0,0.145,-0.145
660271,"Ohtani, Shohei",40,0.8888888888888888,31,76.740358,0.65,0.4516129032258064,0.35,0.3548387096774194,0.275,8.15742875,3,2.444339381889243,9,0.225,17,0.425,"Ohtani, Shohei",660271,2025,32,19,0.28,0.303,-0.0229999999999999,0.56,0.471,0.089,0.411,0.395,0.0159999999999999
663624,"Mountcastle, Ryan",32,0.9142857142857144,22,76.73220625,0.65625,0.3636363636363636,0.25,0.2727272727272727,0.1875,7.648585938,2,-1.0315786752912408,10,0.3125,12,0.375,"Mountcastle, Ryan",663624,2025,17,12,0.25,0.225,0.0249999999999999,0.313,0.411,-0.0979999999999999,0.271,0.293,-0.0219999999999999
656941,"Schwarber, Kyle",23,0.9583333333333334,19,76.655559565,0.782608695652174,0.4210526315789473,0.3478260869565217,0.3684210526315789,0.3043478260869565,7.655448696,0,3.8294520167351824,4,0.1739130434782608,12,0.5217391304347826,"Schwarber, Kyle",656941,2025,19,12,0.353,0.349,0.004,0.882,0.867,0.015,0.536,0.528,0.008
592450,"Judge, Aaron",23,0.92,16,76.619711304,0.6956521739130435,0.5625,0.391304347826087,0.5,0.3478260869565217,8.391232609,0,4.5942922720197705,7,0.3043478260869565,10,0.4347826086956521,"Judge, Aaron",592450,2025,18,11,0.4,0.385,0.015,1.333,1.323,0.01,0.709,0.698,0.011
