"last_name, first_name",player_id,year,pa,k_percent,bb_percent,woba,xwoba,xwobacon,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent,season
"Grichuk, Randal",545341,2017,442,30.1,5.9,0.315,0.332,0.457,37.4,16.0,41.4,101.416289214,94.814893107,29.6,51.2,2017
"Pirela, José",517369,2017,344,20.6,7.8,0.355,0.327,0.378,29.5,4.5,39.1,100.558447333,94.388551625,26.1,46.9,2017
"Guyer, Brandon",446386,2017,192,22.4,7.8,0.293,0.301,0.331,32.5,2.4,23.0,94.218302131,91.166343033,24.0,43.2,2017
"Adrianza, Ehire",501303,2017,186,13.4,8.6,0.302,0.289,0.294,33.3,2.1,22.9,95.022386143,91.575775286,10.8,43.9,2017
"García, Willy",591994,2017,119,26.1,9.2,0.301,0.285,0.342,31.2,3.9,31.2,97.746410263,92.979340263,31.4,43.8,2017
"Bogaerts, Xander",593428,2017,635,18.3,8.8,0.321,0.287,0.309,26.7,1.3,30.2,98.141221272,93.123143026,20.8,41.9,2017
"Volquez, Edinson",450172,2017,30,36.7,3.3,0.181,0.104,0.139,5.6,0.0,5.6,91.0957775,89.999488125,41.2,52.0,2017
"Aybar, Erick",430947,2017,370,15.4,7.6,0.282,0.273,0.283,30.2,1.8,15.8,92.378530809,90.457732583,16.4,47.8,2017
"Vargas, Kennys",573627,2017,264,29.2,7.6,0.323,0.3,0.39,30.9,9.1,30.9,98.643917229,93.434105818,30.3,45.4,2017
"Brantly, Rob",542963,2017,36,38.9,8.3,0.388,0.289,0.404,47.1,5.9,29.4,95.516853333,91.979510588,28.0,52.4,2017
"Bumgarner, Madison",518516,2017,36,30.6,5.6,0.301,0.351,0.49,39.1,17.4,39.1,100.556730833,94.656378696,44.2,56.6,2017
"Alfaro, Jorge",595751,2017,114,28.9,2.6,0.369,0.333,0.45,37.8,9.5,36.5,101.022017027,94.574789595,37.2,61.9,2017
"Marrero, Chris",502029,2017,41,22.0,4.9,0.168,0.236,0.277,33.3,6.7,20.0,93.018296667,90.902985,24.7,47.1,2017
"Castillo, Luis",622491,2017,33,33.3,3.0,0.082,0.135,0.193,19.0,0.0,0.0,88.1265125,89.037466875,41.3,64.9,2017
"Gonzalez, Marwin",503556,2017,515,19.2,9.5,0.382,0.32,0.355,29.4,6.6,36.6,98.976971932,93.631260456,20.3,42.4,2017
"Williams, Trevor",592866,2017,47,36.2,4.3,0.073,0.145,0.204,25.0,0.0,10.7,91.512698333,90.179184348,25.0,45.7,2017
"d'Arnaud, Chase",488818,2017,62,32.3,6.5,0.222,0.22,0.304,34.2,2.6,16.2,90.747323333,90.335934444,28.1,50.9,2017
"Harrison, Josh",543281,2017,542,16.6,5.2,0.332,0.311,0.333,38.4,2.7,24.1,94.705423179,91.362796555,21.7,53.0,2017
"Córdoba, Allen",642707,2017,227,23.8,7.9,0.256,0.28,0.323,28.5,2.0,21.2,93.802010959,91.196309178,28.2,44.5,2017
"Perez, Salvador",521692,2017,498,19.1,3.4,0.329,0.349,0.419,34.4,9.4,38.9,100.007416649,94.066432606,20.9,58.8,2017
"Cervelli, Francisco",465041,2017,304,21.4,10.5,0.315,0.318,0.349,36.3,4.5,31.8,97.1657409,92.747388744,23.8,41.3,2017
"Hoying, Jared",592419,2017,77,29.9,5.2,0.246,0.225,0.291,28.0,0.0,20.0,92.8506,91.169747551,33.1,49.1,2017
"Jackson, Austin",457706,2017,318,20.1,10.4,0.371,0.339,0.383,35.9,5.0,34.2,97.616436789,93.050433028,21.8,42.3,2017
"Adduci, James",451192,2017,93,29.0,10.8,0.312,0.318,0.406,28.6,7.1,42.9,101.973143571,95.213200182,25.1,50.4,2017
"Tejada, Rubén",514913,2017,124,12.1,6.5,0.259,0.311,0.319,38.4,1.0,26.5,95.738961429,91.926349485,14.9,49.3,2017
"Pujols, Albert",405395,2017,636,14.6,5.8,0.286,0.316,0.349,31.9,5.4,39.2,99.285027729,93.741547151,20.6,47.1,2017
"Yelich, Christian",592885,2017,694,19.7,11.5,0.348,0.363,0.411,29.5,7.0,45.8,102.279437897,95.40188514,22.1,42.5,2017
"Gurriel Jr., Yuli",493329,2017,564,11.0,3.9,0.344,0.326,0.347,29.2,3.4,43.5,100.797824255,94.666288745,17.7,48.3,2017
"Iglesias, Jose",578428,2017,489,13.3,4.3,0.283,0.275,0.297,32.6,1.2,21.1,93.683011717,91.056764785,15.2,46.9,2017
"Hosmer, Eric",543333,2017,671,15.5,9.8,0.376,0.352,0.382,30.3,7.0,39.4,101.348699758,94.761279456,21.6,47.1,2017
"Marrero, Deven",571918,2017,188,32.4,6.4,0.257,0.254,0.35,30.4,2.6,26.5,96.40189283,92.245438286,28.7,47.3,2017
"Contreras, Willson",575929,2017,428,22.9,10.5,0.362,0.351,0.419,29.4,10.3,35.9,100.625959562,94.352117774,30.1,48.0,2017
"Granderson, Curtis",434158,2017,527,23.3,13.5,0.33,0.34,0.39,33.1,10.9,34.4,97.813685466,92.975982733,19.2,38.4,2017
