feature,importance
num__bat_speed,18.70553143893229
num__swing_length,10.536932234064805
num__pz,10.325358224421953
num__px,9.837908473003994
num__horizontal_release,5.797014215934686
num__spin_rate,5.324997904368465
num__swing_efficiency_ratio,5.042805449528022
num__arm_angle,4.698411577587613
num__speed_differential,4.497208943496837
num__vertical_release,4.232663683972725
num__extension,3.97648916146805
num__perceived_velocity,2.9950856079736097
num__pitch_velocity,2.718469981310739
cat__pitch_type_4-Seam Fastball,1.7052847627767451
cat__inside_pitch_True,1.4539401273007584
cat__inside_pitch_False,1.3240863517629637
cat__low_pitch_False,1.236229169193112
cat__low_pitch_True,1.1019876947506022
cat__pitch_category_Fastball,0.9389567617142044
cat__pitch_type_Sinker,0.7164150040133033
cat__pitch_category_Breaking,0.653922425363378
cat__pitch_category_Offspeed,0.5768769233555384
cat__high_pitch_False,0.43018746397374447
cat__pitch_type_Cutter,0.32593346157078534
cat__high_pitch_True,0.22209080434861966
cat__pitch_type_Slider,0.19939114984830394
cat__pitch_type_Changeup,0.12869572341180088
cat__pitch_type_Curveball,0.10597459099798422
cat__pitch_type_Sweeper,0.08329682464501724
cat__pitch_type_Split-Finger,0.06274658692289567
cat__pitch_type_Knuckle Curve,0.025381976158708842
cat__pitch_category_Other,0.014029818989473655
cat__pitch_type_Other,0.0023877145841396373
cat__pitch_type_Slurve,0.0019871202272816932
cat__pitch_type_Knuckleball,0.0008017078803045743
cat__pitch_type_Eephus,0.0004058782292499437
cat__pitch_type_Screwball,0.0001130619172916342
cat__pitch_type_Forkball,0.0
