feature,importance
num__bat_speed,0.03605936920222635
num__pz,0.02630550401978974
num__swing_length,0.02549412492269637
num__px,0.021224489795918372
num__horizontal_release,0.014753246753246763
num__spin_rate,0.013090909090909097
num__swing_efficiency_ratio,0.01159431045145331
num__arm_angle,0.011186147186147199
num__vertical_release,0.010466295609152765
num__extension,0.010295609152752027
num__speed_differential,0.009316017316017323
num__perceived_velocity,0.006609771181199764
num__pitch_velocity,0.005585652442795302
cat__pitch_type_4-Seam Fastball,0.003651205936920238
cat__inside_pitch_True,0.002431663574520726
cat__inside_pitch_False,0.002424242424242434
cat__pitch_category_Fastball,0.002090290661719241
cat__pitch_category_Breaking,0.0015337043908472624
cat__pitch_type_Sinker,0.0014693877551020472
cat__pitch_category_Offspeed,0.0012838589981447324
cat__high_pitch_False,0.0012714904143475703
cat__low_pitch_False,0.0010983302411873952
cat__pitch_type_Cutter,0.0010538033395176393
cat__low_pitch_True,0.0008509585652442975
cat__high_pitch_True,0.0007495361781076181
cat__pitch_type_Slider,0.000514533085961677
cat__pitch_type_Split-Finger,0.00031416202844774534
cat__pitch_type_Changeup,0.0002498453927025412
cat__pitch_type_Curveball,0.00012121212121212754
cat__pitch_type_Sweeper,0.00011379097093383028
cat__pitch_type_Knuckle Curve,7.173778602350688e-05
cat__pitch_category_Other,2.7210884353745523e-05
cat__pitch_type_Eephus,2.4737167594324205e-05
cat__pitch_type_Slurve,7.421150278297262e-06
cat__pitch_type_Screwball,0.0
cat__pitch_type_Other,0.0
cat__pitch_type_Forkball,0.0
cat__pitch_type_Knuckleball,-2.4737167594324205e-06
